ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
A1361477|15-661|Białystok|ul. Batalionów Chłopskich[Batalionów]|16|10|PODLASKIE[]|Białystok[]|Białystok[]
A1734941|31-331[31-273]|Kraków[Kaków]|ul. Bliska[Batalionu Skała A.K.]|4a|34|MAŁOPOLSKIE[]|Kraków[]|Kraków[]
A1782515|31-331[31-273]|Kraków|ul. Bliska[Batalionu Skała AK 4A]|4A[25]|25[]|MAŁOPOLSKIE|Kraków|Kraków
A2510|31-331[31-273]|Kraków|ul. Bliska[Batalionu Skała]|2A|28|MAŁOPOLSKIE|Kraków|Kraków
A1688149|31-331[31-273]|Kraków|ul. Bliska[Batalionu Skała]|4A|34|MAŁOPOLSKIE|Kraków|Kraków
A1172380|31-331[31-273]|Kraków|ul. Bliska[Batalionu Skała]|AK10|11|MAŁOPOLSKIE|Kraków[KRAKOWSKI]|Kraków[ZIELONKI]
A1708417|31-331[31-273]|Kraków|ul. Bliska[Batalionu Skała]|10|11|MAŁOPOLSKIE|Kraków|Kraków
A1438893|33-200|Dąbrowa Tarnowska|ul. Batalionów Chłopskich[Batlionów Chł.]|44||MAŁOPOLSKIE[]|dąbrowski[]|Dąbrowa Tarnowska[]
A1901298|39-232|Bączałka[GRUDNIA DOLNA]|[Bączkałka]|49||PODKARPACKIE|dębicki|Brzostek
A1349613|29-100|Bebelno-Kolonia[WŁOSZCZOWA BEBELNO KOLO]|[Bebelno Kolonia]|79||ŚWIĘTOKRZYSKIE|włoszczowski[]|Włoszczowa[]
A1950560|00-761|Warszawa|ul. Belwederska[Belwederska 9A]|9A[5]|5[]|MAZOWIECKIE[]|Warszawa[]|Warszawa[]
A1262055|97-300|Piotrków Trybunalski|ul. Belzacka[Belzacka 49/57]|49/57[bl.12]|bl.12/27[27]|ŁÓDZKIE|Piotrków Trybunalski|Piotrków Trybunalski
A1829637|32-600|Oświęcim|ul. Bema[Bema 10A]|10A[10]|10[]|MAŁOPOLSKIE|oświęcimski|Oświęcim
A1637623|34-321|Kocierz Moszczanicki|ul. Beskidzka[Beskidzka 13]|13|13[]|ŚLĄSKIE[]|żywiecki[]|Łękawica[]
A1464807|32-089|Bębło|[Bębło-]|205||MAŁOPOLSKIE[]|krakowski[]|Wielka Wieś[]
A1372150|32-828|Biadoliny Szlacheckie[MASZKIENICE]|[Biadoliny]|309||MAŁOPOLSKIE[]|brzeski[]|Dębno[]
A1785200|98-350|Biała-Parcela[BIAŁA]|[Biała Parcela]|47b||ŁÓDZKIE[]|wieluński[]|Biała[]
A1464733|23-300|Biała Pierwsza|[Biała Pierwsza-]|232||LUBELSKIE[]|janowski[]|Janów Lubelski[]
A1649433|32-087|Bibice|[Bibice ul.Kościuszki]|7||MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
A1433537|32-087|Bibice[ZIELONKI]|[Bibice ul.Krakowska]|11||MAŁOPOLSKIE[]|krakowski[]|Zielonki[]
